2019-12-21 15:33:29.6917	INFO	No Color Found	CIDER.ColorWriter.GetSetTheming	MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => ColorWriterUnitTests.ColorWriter_GetSetThemeingWithoutThemeing_ThrowsError => Assert.Throws => Assert.Throws => <>c__DisplayClass1_0.<ColorWriter_GetSetThemeingWithoutThemeing_ThrowsError>b__0 => ColorWriter.GetSetTheming	"CIDER.ColorWriterNoColorException: Eine Ausnahme vom Typ ""CIDER.ColorWriterNoColorException"" wurde ausgelöst.
   bei CIDER.ColorWriter.GetSetTheming() in H:\Dokumente\Diplomarbeit\Code\CIDER-Repository\dip-cider\CIDER\CIDER\ColorWriter.cs:Zeile 63."	
2019-12-21 15:33:29.8186	INFO	0 parses failed.	CIDER.LoadIO.FileIO.GGA	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.GGA		
2019-12-21 15:33:29.8186	INFO	0 parses failed.	CIDER.LoadIO.FileIO.RMC	Task.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem => Task.ExecuteEntry => Task.ExecuteWithThreadLocal => ExecutionContext.Run => ExecutionContext.RunInternal => Task.ExecutionContextCallback => Task.Execute => Task.InnerInvoke => <>c__DisplayClass3_0.<ReadNmea>b__0 => FileIO.RMC		
2019-12-21 15:33:29.8186	DEBUG	NMEA ingestion finished.	CIDER.LoadIO.FileIO+<ReadNmea>d__3.MoveNext	Task.Finish => Task.FinishStageTwo => Task.FinishStageThree => Task.FinishContinuations => AwaitTaskContinuation.RunOrScheduleAction => MoveNextRunner.Run => ExecutionContext.Run => ExecutionContext.RunInternal => MoveNextRunner.InvokeMoveNext => <ReadNmea>d__3.MoveNext		
2019-12-21 15:33:29.8795	DEBUG	Select Clicked	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClicked_CallsFolderChecker => DelegateCommand.Execute => LoadViewModel.OnSelectClick		
2019-12-21 15:33:29.8795	DEBUG	Select Clicked	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClicked_CallsFolderSelector => DelegateCommand.Execute => LoadViewModel.OnSelectClick		
2019-12-21 15:33:29.8795	DEBUG	Getting folder name: return from path: return	CIDER.LoadIO.FolderChecker.GetFolderName	MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClicked_CallsFolderSelector => DelegateCommand.Execute => LoadViewModel.OnSelectClick => FolderChecker.IsCorrectFolder => FolderChecker.GetFolderName		
2019-12-21 15:33:29.8795	INFO	Folder return is invalid	CIDER.LoadIO.FolderChecker.IsCorrectFolder	TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClicked_CallsFolderSelector => DelegateCommand.Execute => LoadViewModel.OnSelectClick => FolderChecker.IsCorrectFolder		
2019-12-21 15:33:29.8795	DEBUG	Select Clicked	CIDER.ViewModels.LoadViewModel.OnSelectClick	TestMethodCommand.RunTestMethod => TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClicked_ReceivesStringOfSelectedFile => DelegateCommand.Execute => LoadViewModel.OnSelectClick		
2019-12-21 15:33:29.8795	DEBUG	Getting folder name: return from path: return	CIDER.LoadIO.FolderChecker.GetFolderName	MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClicked_ReceivesStringOfSelectedFile => DelegateCommand.Execute => LoadViewModel.OnSelectClick => FolderChecker.IsCorrectFolder => FolderChecker.GetFolderName		
2019-12-21 15:33:29.8795	INFO	Folder return is invalid	CIDER.LoadIO.FolderChecker.IsCorrectFolder	TestMethodCommand.RunNonAsyncTestMethod => MethodWrapper.Invoke => Reflect.InvokeMethod => RuntimeMethodInfo.Invoke => RuntimeMethodInfo.UnsafeInvokeInternal => RuntimeMethodHandle.InvokeMethod => LoadViewModelUnitTests.LoadViewModel_OnSelectClicked_ReceivesStringOfSelectedFile => DelegateCommand.Execute => LoadViewModel.OnSelectClick => FolderChecker.IsCorrectFolder		
